SerNum;Name;Cmp;Wiki;Status;Liftoff Thrust;Payload to LEO;Stages;Strap-ons;Rocket Height;Price;Payload to GTO;Fairing Diameter;Fairing Height
349;Soyuz 7;Roscosmos;https://en.m.wikipedia.org/wiki/Soyuz-7_(rocket);Planned;;13.0;;0;;;0.0;;
350;Soyuz FG;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-FG;Retired;4,056;6.9;3;4;49.5 m;;0.0;;
351;Soyuz FG/Fregat;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-FG;Retired;;7.8;3;4;42.5 m;;0.0;;
352;Soyuz L;OKB-1;https://en.wikipedia.org/wiki/Soyuz-L;Retired;4,054;5.5;2;4;50.0 m;;0.0;3.8 m;
353;Soyuz M;OKB-1;https://en.wikipedia.org/wiki/Soyuz-M;Retired;995;6.6;2;4;50.0 m;;0.0;;
354;Soyuz ST-A/Fregat;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-2;Active;4,150;0.0;4;4;46.2 m;$80.0 million;2.81;4.11 m;11.4 m
355;Soyuz ST-A/Fregat-M;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-2;Active;4,150;0.0;4;4;46.2 m;;2.81;4.11 m;11.4 m
356;Soyuz ST-B/Fregat-M;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-2#Soyuz-2.1b;Active;4,150;0.0;4;4;46.2 m;;3.25;4.11 m;11.4 m
357;Soyuz ST-B/Fregat-MT;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-2#Soyuz-2.1b;Active;;0.0;4;4;46.2 m;;3.25;4.11 m;11.4 m
358;Soyuz U;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-U;Retired;4,147;6.9;3;4;51.1 m;;0.0;3.7 m;7.7 m
359;Soyuz U2;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-U2;Retired;;7.05;2;4;34.5 m;;0.0;;
360;Soyuz U/Fregat;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-U;Retired;;6.9;3;4;46.7 m;;0.0;;
361;Soyuz U/Ikar;RKK Energiya;https://en.wikipedia.org/wiki/Soyuz-U;Retired;;6.9;3;4;47.3 m;;0.0;;
362;Space Shuttle Atlantis;NASA;https://en.wikipedia.org/wiki/Space_Shuttle_Atlantis;Retired;30,250;27.5;2;2;56.1 m;$450.0 million;3.81;;
363;Space Shuttle Challenger;NASA;https://en.wikipedia.org/wiki/Space_Shuttle_Challenger;Retired;30,250;27.5;2;2;56.1 m;$450.0 million;3.81;;
364;Space Shuttle Columbia;NASA;https://en.wikipedia.org/wiki/Space_Shuttle_Columbia;Retired;30,250;27.5;2;2;56.1 m;$450.0 million;3.81;;
365;Space Shuttle Discovery;NASA;https://en.wikipedia.org/wiki/Space_Shuttle_Discovery;Retired;30,250;27.5;2;2;56.1 m;$450.0 million;3.81;;
366;Space Shuttle Endeavour;NASA;https://en.wikipedia.org/wiki/Space_Shuttle_Endeavour;Retired;30,250;27.5;2;2;56.1 m;$450.0 million;3.81;;
367;Sputnik 8A91;OKB-1;https://en.wikipedia.org/wiki/Sputnik_(rocket);Retired;3,784;1.327;2;4;31.0 m;;0.0;3.0 m;3.0 m
368;Sputnik 8K71PS;OKB-1;https://en.wikipedia.org/wiki/Sputnik_(rocket);Retired;3,903;0.5;2;4;29.1 m;;0.0;2.95 m;3.0 m
369;SS-520;JAXA;https://en.wikipedia.org/wiki/S-Series_(rocket_family)#SS-520;Active;;0.004;3;0;9.54 m;;0.0;0.52 m;
370;SSLV;ISRO;https://en.wikipedia.org/wiki/Small_Satellite_Launch_Vehicle;Planned;;0.5;4;0;34.0 m;;0.0;2.0 m;
371;Starship Prototype;SpaceX;https://en.wikipedia.org/wiki/SpaceX_Starship;Active;6,000;0.0;1;0;50.0 m;;0.0;;
372;Starship-Super Heavy;SpaceX;https://en.wikipedia.org/wiki/BFR_(rocket);Planned;61,800;100.0;2;0;118.0 m;;0.0;9.0 m;
373;Start;MITT;https://en.wikipedia.org/wiki/Start-1#Variants;Retired;;0.85;5;0;;;0.0;;
374;Start-1;MITT;https://en.wikipedia.org/wiki/Start-1;Active;980;0.532;4;0;23.0 m;;0.167;;
375;Strela;NPO Mach;https://en.wikipedia.org/wiki/Strela_(rocket);Retired;2,080;1.5;3;0;29.2 m;;0.0;1.55 m;5.4 m
376;Super Stripy;Sandia;https://en.wikipedia.org/wiki/SPARK_(rocket);Active;134;0.25;3;0;18.0 m;$15.0 million;0.0;1.32 m;
377;Taepodong-1;KCST;https://en.wikipedia.org/wiki/Taepodong-1;Retired;525;0.0;3;0;26.0 m;;0.0;1.0 m;
378;Terran-1;Relativity;https://en.wikipedia.org/wiki/Relativity_Space#Terran_1_launch_vehicle;Planned;;1.25;2;0;;$10.0 million;0.0;;
379;Thor-DM 18 Able I;US Air Force;https://en.wikipedia.org/wiki/Thor-Able;Retired;;0.12;3;0;27.0 m;;0.0;;
380;Thor DM-18 Able-II;US Air Force;https://en.wikipedia.org/wiki/Thor-Able;Retired;;0.0;3;0;;;0.0;;
381;Thor DM-18 Able-III;US Air Force;https://en.wikipedia.org/wiki/Thor-Able;Retired;;0.0;3;0;;;0.0;;
382;Thor DM-18 Able-IV;US Air Force;https://en.wikipedia.org/wiki/Thor-Able;Retired;;0.0;3;0;;;0.0;;
383;Thor-DM18 Agena-A;US Air Force;https://en.wikipedia.org/wiki/Thor-Agena;Retired;;0.0;3;0;;;0.0;;
384;Thor DM-19 Delta;US Air Force;https://en.wikipedia.org/wiki/Thor-Delta;Retired;;0.0;0;3;;;0.0;;
385;Thor-DM21 Ablestar;US Air Force;https://en.wikipedia.org/wiki/Thor-Ablestar;Retired;760;0.15;0;2;29.0 m;;0.0;;
386;Thor DM-21 Agena-B;US Air Force;https://en.wikipedia.org/wiki/Thor-Agena;Retired;;0.0;3;0;;;0.0;;
387;Thor DM-21 Agena-D;US Air Force;https://en.wikipedia.org/wiki/Thor-Agena;Retired;;0.0;3;0;;;0.0;;
388;Thor-DSV2A Ablestar;US Air Force;https://en.wikipedia.org/wiki/Thor-Ablestar;Retired;;0.0;2;0;;;0.0;;
389;Thor-SLV2A Agena-D;US Air Force;https://en.wikipedia.org/wiki/Thor-Agena;Retired;1,571;0.0;2;3;31.0 m;;0.0;;
390;Titan 34D;Martin Marietta;https://en.wikipedia.org/wiki/Titan_34D#Specification;Retired;11,279;14.515;3;2;50.0 m;;5.0;3.05 m;
391;Titan II(23)G;Lockheed;https://en.wikipedia.org/wiki/Titan_23G;Retired;1,900;3.6;2;;42.9 m;$35.0 million;0.0;3.05 m;9.1 m
392;Titan II GLV;NASA;https://en.wikipedia.org/wiki/Titan_II_GLV;Retired;1,913;3.58;2;0;33.2 m;;0.0;;
393;Titan III(23)B;US Air Force;https://en.wikipedia.org/wiki/Titan_IIIB#Titan_23B;Retired;2,300;3.3;3;0;45.0 m;;0.0;1.5 m;
394;Titan III(23)C;US Air Force;https://en.wikipedia.org/wiki/Titan_IIIC;Retired;13,642;13.1;3;2;42.0 m;;3.0;3.0 m;
395;Titan III(24)B;US Air Force;https://en.wikipedia.org/wiki/Titan_IIIB#Titan_24B;Retired;2,410;4.0;3;0;50.0 m;;0.0;3.05 m;
396;Titan-III(33)B Agena-D;Martin Marietta;https://en.wikipedia.org/wiki/Titan_IIIB#Titan_33B;Retired;2,300;0.0;3;;45.0 m;;0.0;3.05 m;
397;Titan III(34)B Agena-D;Martin Marietta;https://en.wikipedia.org/wiki/Titan_IIIB#Titan_34B;Retired;2,300;0.0;3;;45.0 m;;0.0;3.05 m;
398;Titan IIIA;US Air Force;https://en.wikipedia.org/wiki/Titan_IIIA;Retired;1,936;3.1;3;0;42.0 m;$63.23 million;0.0;;
399;Titan IIIB;US Air Force;https://en.wikipedia.org/wiki/Titan_IIIB;Retired;2,300;3.3;3;0;45.0 m;$59.0 million;0.0;1.52 m;
400;Titan IIIC;US Air Force;https://en.wikipedia.org/wiki/Titan_IIIC;Retired;13,642;13.1;3;2;42.0 m;;3.0;3.0 m;
401;Titan IIID;Martin Marietta;https://en.wikipedia.org/wiki/Titan_IIID;Retired;10,587;12.3;2;2;36.0 m;;0.0;;
402;Titan IIIE;Martin Marietta;https://en.wikipedia.org/wiki/Titan_IIIE;Retired;12,769;15.4;3;2;48.8 m;;0.0;;
403;Titan IV(401)A;Lockheed;https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-A;Retired;14,200;0.0;3;2;63.0 m;;0.0;5.1 m;
404;Titan IV(401)B;Lockheed;https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-B;Retired;15,000;0.0;3;2;62.0 m;;0.0;5.1 m;
405;Titan IV(402)A;Martin Marietta;https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-A;Retired;14,200;0.0;4;2;54.0 m;;4.944;5.1 m;
406;Titan IV(402)B;Lockheed;https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-B;Retired;15,000;0.0;4;2;54.0 m;;0.0;5.1 m;
407;Titan IV(403)A;Lockheed;https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-A;Retired;14,200;17.7;2;2;54.0 m;;0.0;5.1 m;
408;Titan IV(403)B;Lockheed;https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-B;Retired;15,000;21.68;2;2;54.0 m;;0.0;5.1 m;
409;Titan IV(404)A;Lockheed;https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-A;Retired;14,200;17.7;2;2;54.0 m;;0.0;5.1 m;
410;Titan IV(404)B;Lockheed;https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-B;Retired;15,000;21.68;2;2;54.0 m;;0.0;5.1 m;
411;Titan IV(405)A;Lockheed;https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-A;Retired;14,200;17.7;2;2;54.0 m;;0.0;5.1 m;
412;Titan IV(405)B;Lockheed;https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-B;Retired;15,000;21.68;2;2;54.0 m;;0.0;5.1 m;
413;Tsyklon;Yuzhmash;https://en.wikipedia.org/wiki/Tsyklon;Retired;2,640;3.0;2;0;40.0 m;;0.0;2.0 m;
414;Tsyklon-2;Yuzhmash;https://en.wikipedia.org/wiki/Tsyklon-2;Retired;2,640;2.82;3;0;;;0.0;2.0 m;
415;Tsyklon-2A;Yuzhmash;https://en.wikipedia.org/wiki/Tsyklon;Retired;2,640;3.0;2;0;;;0.0;2.0 m;
