SerNum;Name;Cmp;Wiki;Status;Liftoff Thrust;Payload to LEO;Stages;Strap-ons;Rocket Height;Price;Payload to GTO;Fairing Diameter;Fairing Height
214;Long March 2D/YZ-3;CASC;https://en.wikipedia.org/wiki/Long_March_2D;Active;2,962;0.0;3;0;;;0.0;3.35 m;10.9 m
215;Long March 2E;CASC;https://en.wikipedia.org/wiki/Long_March_2E;Retired;5,923;9.5;2;4;49.7 m;;3.5;4.2 m;3.4 m
216;Long March 2F;CASC;https://en.wikipedia.org/wiki/Long_March_2F;Active;6,512;8.4;2;4;62.0 m;;0.0;;
217;Long March 2F/G;CASC;https://en.wikipedia.org/wiki/Long_March_2F;Active;;8.4;2;4;62.0 m;;0.0;;
218;Long March 2F/T;CASC;https://en.wikipedia.org/wiki/Long_March_2F;Active;;8.4;2;4;58.0 m;;0.0;;
219;Long March 3;CASC;https://en.wikipedia.org/wiki/Long_March_3;Retired;2,962;5.0;3;0;43.25 m;;1.5;;
220;Long March 3A;CASC;https://en.wikipedia.org/wiki/Long_March_3A;Active;2,962;8.5;3;0;52.52 m;$69.7 million;2.6;3.35 m;8.89 m
221;Long March 3B;CASC;https://en.wikipedia.org/wiki/Long_March_3B;Active;5,924;11.5;3;4;54.8 m;;5.1;4.0 m;9.56 m
222;Long March 3B/E;CASC;https://en.wikipedia.org/wiki/Long_March_3B;Active;5,922;11.5;3;4;56.3 m;$29.15 million;5.5;4.2 m;9.56 m
223;Long March 3B/YZ-1;CASC;https://en.wikipedia.org/wiki/Long_March_3B;Active;5,924;0.0;4;4;;;0.0;4.0 m;9.56 m
224;Long March 3C;CASC;https://en.wikipedia.org/wiki/Long_March_3C;Active;5,923;0.0;3;2;55.64 m;$20.14 million;3.8;4.2 m;9.78 m
225;Long March 3C/E;CASC;https://en.wikipedia.org/wiki/Long_March_3C;Active;5,923;0.0;3;4;54.8 m;;3.9;4.2 m;9.8 m
226;Long March 3C/YZ-1;CASC;https://en.wikipedia.org/wiki/Long_March_3C;Active;5,923;0.0;4;2;;;0.0;4.2 m;9.78 m
227;Long March 4A;CASC;https://en.wikipedia.org/wiki/Long_March_4A;Retired;2,962;4.0;3;0;41.9 m;;0.0;;
228;Long March 4B;CASC;https://en.wikipedia.org/wiki/Long_March_4B;Active;2,971;4.2;3;0;44.1 m;$64.68 million;1.5;;
229;Long March 4C;CASC;https://en.wikipedia.org/wiki/Long_March_4C;Active;2,971;4.2;3;0;45.8 m;$64.68 million;1.5;;
230;Long March 5;CASC;https://en.wikipedia.org/wiki/Long_March_5;Active;10,565;25.0;3;4;57.0 m;;14.0;5.0 m;
231;Long March 5B;CASC;https://en.wikipedia.org/wiki/Long_March_5;Active;10,565;23.0;2;4;53.66 m;;0.0;5.2 m;20.5 m
232;Long March 5/YZ-2;CASC;https://en.wikipedia.org/wiki/Long_March_5;Active;10,565;25.0;3;4;57.0 m;;0.0;5.0 m;
233;Long March 6;CASC;https://en.wikipedia.org/wiki/Long_March_6;Active;1,188;1.08;3;0;29.24 m;;0.0;2.6 m;5.7 m
234;Long March 6A;CASC;https://en.wikipedia.org/wiki/Long_March_6;Planned;;0.0;3;4;29.24 m;;0.0;2.6 m;5.7 m
235;Long March 7;CASC;https://en.wikipedia.org/wiki/Long_March_7;Active;7,200;13.5;2;4;53.1 m;;5.5;4.2 m;12.4 m
236;Long March 7A;CASC;https://en.wikipedia.org/wiki/Long_March_7;Active;7,200;0.0;3;4;;;7.0;4.2 m;12.4 m
237;Long March 7/YZ-1A;CASC;https://en.wikipedia.org/wiki/Long_March_7;Active;7,200;13.5;3;4;53.1 m;;5.5;4.2 m;12.4 m
238;Long March 8;CASC;https://en.wikipedia.org/wiki/Long_March_(rocket_family)#Long_March_8;Planned;;7.6;3;2;;;2.5;;
239;Long March 9;CASC;https://en.wikipedia.org/wiki/Long_March_(rocket_family)#Variants;Planned;;140.0;3;4;110.0 m;;50.0;;
240;Mercury-Redstone;NASA;https://en.wikipedia.org/wiki/Mercury-Redstone_Launch_Vehicle;Retired;350;0.0;1;0;25.4 m;;0.0;;
241;Minotaur C (Taurus);Northrop;https://en.wikipedia.org/wiki/Minotaur-C;Active;1,607;1.32;4;0;27.9 m;$45.0 million;0.0;2.34 m;
242;Minotaur I;Northrop;https://en.wikipedia.org/wiki/Minotaur_I;Active;792;0.58;4;0;19.21 m;$40.0 million;0.331;1.27 m;3.79 m
243;Minotaur IV;Northrop;https://en.wikipedia.org/wiki/Minotaur_IV;Active;2,200;1.375;4;0;23.88 m;$46.0 million;0.0;2.34 m;6.4 m
244;Minotaur V;Northrop;https://en.wikipedia.org/wiki/Minotaur_V;Active;2,224;0.64;5;0;24.56 m;$55.0 million;0.532;2.34 m;6.4 m
245;Miura 5;PLD;https://en.wikipedia.org/wiki/PLD_Space#Miura_5;Planned;;0.3;3;0;20.7 m;;0.0;;
246;Molniya;RKK Energiya;https://en.wikipedia.org/wiki/Molniya_(rocket);Retired;3,692;0.0;4;4;43.4 m;;0.0;2.6 m;
247;Molniya-M /Block 2BL;RKK Energiya;https://en.wikipedia.org/wiki/Molniya-M;Retired;4,016;0.0;3;4;43.4 m;;0.0;;7.81 m
248;Molniya-M /Block L;RKK Energiya;https://en.wikipedia.org/wiki/Molniya-M;Retired;4,016;0.0;3;4;43.4 m;;0.0;;7.81 m
